,nome,cpf,idade,data,endereco,estado,pais,nivel_educacao,salario,numero_filhos,estado_civil,area_atuacao
0,Nicolas Moraes,,18,08/01/2006,,,Brasil,Pós-Graduação,3819,4,Viúvo(a),Educação
1,Maysa Ramos,703.529.684-00,48,22/11/1975,"Quadra Raquel Fonseca, 37
Corumbiara
37269-262 Araújo / BA",Pará,Brasil,Doutorado,12349,3,Solteiro(a),Engenharia
2,Joana da Cunha,507.439.682-47,58,28/10/1965,"Residencial Ana Liz Siqueira, 79
Vila Santa Monica 2ª Seção
32513989 Leão do Galho / PE",Alagoas,Brasil,Doutorado,15156,3,,Educação
3,Davi Lucas Gomes,864.295.703-47,31,10/11/1992,"Vereda Guerra
Vila São Geraldo
62026474 da Costa / SC",Mato Grosso do Sul,Brasil,Ensino Médio,8190,1,Casado(a),Saúde
4,Dr. Benicio Duarte,058.719.234-88,31,16/04/1993,"Rua de Cassiano, 90
Álvaro Camargos
50666-158 Correia do Campo / AP",Amazonas,Brasil,Ensino Médio,22386,0,Viúvo(a),Administração
5,Lara Camargo,702.968.314-50,19,15/01/2005,"Jardim Ravy da Mata, 739
Solar Do Barreiro
35920369 Cassiano do Norte / SP",Amazonas,Brasil,Ensino Médio,29193,0,Solteiro(a),Administração
6,Gael Lopes,831.546.920-70,45,10/05/1979,"Vila Garcia, 28
Vila Antena Montanhês
22171036 Vieira de Almeida / CE",São Paulo,Brasil,Ensino Fundamental,9191,4,Viúvo(a),Saúde
7,Srta. Caroline Guerra,529.063.178-02,56,11/02/1968,"Estação de Garcia, 56
São Luiz
80831683 Borges / SE",Bahia,Brasil,Doutorado,7753,4,Divorciado(a),Saúde
8,Srta. Gabriela Silveira,156.872.403-90,58,08/07/1966,"Viela Moraes
Jardim América
67336-993 Sampaio de da Mata / SC",Mato Grosso,Brasil,Mestrado,25758,3,Casado(a),Educação
9,Dr. Matteo Ferreira,547.820.963-56,55,08/07/1969,"Feira Peixoto, 57
Nova Granada
96810766 Pereira / RJ",Espírito Santo,Brasil,Ensino Fundamental,22712,4,Solteiro(a),Tecnologia
10,Lorena Machado,257.184.963-82,55,19/06/1969,"Conjunto Davi Vargas, 895
Vista Alegre
83958815 Leão / DF",Goiás,Brasil,Ensino Médio,26955,2,Viúvo(a),Saúde
11,Heloísa Pereira,408.536.721-80,56,25/08/1967,"Quadra Eduarda da Rocha, 646
Cidade Jardim
10503357 Ribeiro / RN",Tocantins,Brasil,Mestrado,28928,4,Solteiro(a),Marketing
12,Melina Nogueira,014.326.879-13,52,28/08/1971,"Distrito da Mata
Camponesa 1ª Seção
00426435 Ferreira Grande / DF",Espírito Santo,Brasil,Ensino Médio,29384,1,,Engenharia
13,Sr. Benjamim Moura,485.603.219-42,19,16/01/2005,"Via Sales, 91
Copacabana
50784-679 Ribeiro de da Costa / PR",Amazonas,Brasil,Mestrado,26172,3,,
14,Antonella Lima,392.084.715-60,50,10/04/1974,"Setor de Cavalcanti, 60
Boa União 2ª Seção
31138226 Novais / PR",Tocantins,Brasil,Pós-Graduação,23017,0,Viúvo(a),Saúde
15,Caleb Cavalcanti,842.791.350-88,58,11/11/1965,"Sítio Brito, 3
Leonina
80950224 Souza / BA",Rio Grande do Sul,Brasil,Pós-Graduação,21593,4,,Saúde
16,Sr. Pedro Pinto,287.941.036-31,34,25/12/1989,"Praia Vieira, 53
Vila Santo Antônio
14539-384 Barbosa da Serra / RN",Rondônia,Brasil,Pós-Graduação,21145,3,Divorciado(a),Engenharia
17,Arthur Moraes,978.014.253-32,23,06/08/2001,"Recanto Emanuella Alves
Maria Helena
07273510 Novais / SE",Bahia,Brasil,Doutorado,9991,3,Viúvo(a),Administração
18,Gabriel Sales,350.892.674-56,51,30/06/1973,"Vale de Carvalho, 75
Beira Linha
04550162 Montenegro / PR",Espírito Santo,Brasil,Pós-Graduação,11442,3,,Saúde
19,Benicio Teixeira,427.093.586-38,24,02/05/2000,"Viela Monteiro, 55
Vila Olhos D'água
45576-997 Pimenta da Prata / RS",Paraíba,Brasil,Mestrado,27533,2,,Marketing
